property_name,property_locality,location,property_city,price,feature,property_type,property_size_in_sqft,property_size_in_sqm,bedrooms,bathrooms
Building 22,,City Walk,Dubai,"3,100,000",High-Floor Oasis | Bright | Rooftop Pool,Apartment,1163,108,1,2
Building 14,,City Walk,Dubai,"30,000,000",Fully Upgraded Penthouse | Private Pool | Terrace,Apartment,5906,549,4  + Maid,5
Terra Nova,,Arabian Ranches,Dubai,"13,950,000",Open House! Saturday 12th April | 1pm - 2pm,Villa,5126,476,5  + Maid,6
Calida,Victory Heights,Dubai Sports City,Dubai,"17,950,000",Open House! Sunday | 10am - 2pm by appointment,Villa,10000,929,6  + Maid,6
Keturah Resort,,Al Jaddaf,Dubai,"14,500,000",Panoramic Creek View | Fully Furnished | Mid Floor,Apartment,2550,237,2  + Maid,4
Legacy,,Jumeirah Park,Dubai,"9,800,000",Single Row I Private Pool I VOT I Large Plot,Villa,4335,403,4  + Maid,5
The Golf Residence,,Dubai Hills Estate,Dubai,"3,500,000",High Floor | Options Available | Building Specialist,Apartment,1547,144,2,3
Al Sidir 1,Al Sidir,Greens,Dubai,"3,550,000",Vacant on Transfer | Upgraded | Largest Layout,Apartment,2079,193,3,3
Island Park II,,Dubai Creek Harbour (The Lagoons),Dubai,"2,280,000",MULTIPLE OPTIONS I NEGOTIABLE I AGENTS WELCOME,Apartment,1162,108,2,2
Island Park II,,Dubai Creek Harbour (The Lagoons),Dubai,"3,320,000",RESALE I MULTIPLE UNITS I AGENTS WELCOME,Apartment,1600,149,3,3
Ponderosa,,The Villa,Dubai,"15,000,000",Fully Upgraded | Private Pool | Vacant,Villa,9238,858,6  + Maid,7+
Legacy,,Jumeirah Park,Dubai,"9,900,000",Fully Upgraded | Vacant Now | 4BR En-suite,Villa,3527,328,4  + Maid,5
Meadows 1,,Meadows,Dubai,"15,200,000",Immaculate 5 Bedroom | Turnkey | Extended,Villa,4400,409,5  + Maid,7
Meadows 2,,Meadows,Dubai,"9,500,000",Stunning Villa | Fully Upgraded | Best Deal,Villa,5811,540,4  + Maid,5
Jebel Ali Village Townhouses,Jebel Ali Village,Jebel Ali,Dubai,"4,400,000",Genuine Listing | Single Row | Phase 1,Townhouse,2746,255,3  + Maid,4
Al Hamri,Shoreline Apartments,Palm Jumeirah,Dubai,"3,100,000",1 Bed | Fully Upgraded | Park View | Beach Access,Apartment,1145,106,1,2
Lila,,Arabian Ranches 2,Dubai,"6,600,000",Vacant  | Stunning Garden | Sought After,Villa,4507,419,4,4
Palma,,Arabian Ranches 2,Dubai,"7,000,000",Renovated | Prime Location | Vacant,Villa,4650,432,4,5
Mosela Waterside Residences,Mosela,The Views,Dubai,"1,500,000",High Floor | Race Course View | Vacant,Apartment,764,71,1,1
Island Park II,,Dubai Creek Harbour (The Lagoons),Dubai,"2,280,000",MULTIPLE OPTIONS I NEGOTIABLE I AGENTS WELCOME,Apartment,1162,108,2,2
Island Park II,,Dubai Creek Harbour (The Lagoons),Dubai,"3,320,000",RESALE I MULTIPLE UNITS I AGENTS WELCOME,Apartment,1600,149,3,3
Address The Bay,EMAAR Beachfront,Dubai Harbour,Dubai,"9,500,000",BEACHFRONT LUXURY | HIGH FLOOR | ICONIC VIEWS,Apartment,1942,180,3,3
Building 21A,,City Walk,Dubai,"4,500,000",PRIME LOCATION | VIBRANT CITY WALK LIVING,Apartment,1562,145,2,2
Ponderosa,,The Villa,Dubai,"15,000,000",Fully Upgraded | Private Pool | Vacant,Villa,9238,858,6  + Maid,7+
Legacy,,Jumeirah Park,Dubai,"9,900,000",Fully Upgraded | Vacant Now | 4BR En-suite,Villa,3527,328,4  + Maid,5
Creek Rise Tower 2,Creek Rise,Dubai Creek Harbour (The Lagoons),Dubai,"4,200,000",Lagoon View | High Floor | Ready To Move In,Apartment,1107,103,2,2
Jebel Ali Village Townhouses,Jebel Ali Village,Jebel Ali,Dubai,"4,400,000",Genuine Listing | Single Row | Phase 1,Townhouse,2746,255,3  + Maid,4
Lila,,Arabian Ranches 2,Dubai,"6,600,000",Vacant  | Stunning Garden | Sought After,Villa,4507,419,4,4
Palma,,Arabian Ranches 2,Dubai,"7,000,000",Renovated | Prime Location | Vacant,Villa,4650,432,4,5
Mosela Waterside Residences,Mosela,The Views,Dubai,"1,500,000",High Floor | Race Course View | Vacant,Apartment,764,71,1,1
Yasmina Villas,Expo City Valley,Expo City,Dubai,"7,000,000",Multiple Options | Handover 2026 | Luxury,Villa,4039,375,4,4
Canal Front Residence 1,Canal Front Residences,Al Wasl,Dubai,"8,000,000",Fully Furnished | Canal View I Price Negotiable,Apartment,1763,164,3  + Maid,3
Entertainment Foyer,European Clusters,Jumeirah Islands,Dubai,"25,000,000",Fully Renovated | Luxury Villa For Sale,Villa,11000,1022,4  + Maid,5
Meadows 8,,Meadows,Dubai,"14,975,000",Meadows Villa | Lake View | 5BR | VOT,Villa,3805,353,5  + Maid,5
Beach Isle,EMAAR Beachfront,Dubai Harbour,Dubai,"4,500,000",Ultra Luxury | Upgraded | Vacant | Private Garden,Apartment,1214,113,2,2
03 Residence by NED Al Ghurair,,Jumeirah Village Triangle,Dubai,"1,250,000",Exclusive | 0% Commission and DLD Fee | Brand New,Apartment,959,89,1,2
Al Thamam 43,Remraam,Dubai Land,Dubai,"490,000",Vacant | Unfurnished | Open Kitchen | Spacious,Apartment,401,37,studio,1
The Address Residences Dubai Opera Tower 2,The Address Residences Dubai Opera,Downtown Dubai,Dubai,"8,500,000",Exclusive | High Floor | 08 Series | Burj View,Apartment,1774,165,3,3
Oliva,Victory Heights,Dubai Sports City,Dubai,"8,500,000",Park Backing | Vacant | C1 Layout | Exclusive,Villa,6612,614,5,6
The Sundials,Earth,Jumeirah Golf Estates,Dubai,"30,000,000",Golf Course View | Infinity Pool | Renovated,Villa,15400,1431,5  + Maid,5
Maha Townhouses,,Town Square,Dubai,"3,199,999",Open to Offers | End Unit | Handover Soon,Townhouse,2264,210,4  + Maid,4
Parkside 2,EMAAR South,Dubai South (Dubai World Central),Dubai,"2,200,000",Community Expert | 3 BHK + Maid | Best Price,Townhouse,1943,181,3  + Maid,4
Terra Nova,,Arabian Ranches,Dubai,"12,950,000",Private Location | Huge Plot | Vacant,Villa,5000,465,5  + Maid,5
Churchill Residency Tower,Churchill Towers,Business Bay,Dubai,"2,100,000",Canal Front | Vacant | Huge Layout,Apartment,1269,118,2,2
Legacy,,Jumeirah Park,Dubai,"7,250,000",VACANT ON TRANSFER | PERFECT FAMILY HOME,Villa,4035,375,3  + Maid,4
Springs 15,,The Springs,Dubai,"6,300,000",Huge 4939 sqft Plot |Vacant Soon |Private,Villa,2246,209,3,2
BLVD Heights Tower 2,BLVD Heights,Downtown Dubai,Dubai,"4,800,000",Furnished | High Floor | Vacant on Transfer,Apartment,1735,161,2,3
Zulal 2,Zulal,The Lakes,Dubai,"6,299,999",Pool And Park View | Owner Occupied | B Middle,Villa,3034,282,3  + Maid,4
The Fairways East,The Fairways,The Views,Dubai,"3,250,000",Upgraded | Vacant June 2025 | Golf Course View,Apartment,1377,128,2,2
The Fairways East,The Fairways,The Views,Dubai,"3,500,000",Panoramic Golf Course View | 03 Series | Corner,Apartment,1471,137,2,1
Resortz by Danube,,Arjan,Dubai,"550,000",Fully Furnished |Vacant Soon| Prime Location,Apartment,450,42,studio,1
Amaranta,Villanova,Dubai Land,Dubai,"4,600,000",Large Plot | Corner Stand Alone Villa |  Notice,Villa,3954,367,3,4
AZIZI Riviera,Meydan One,Meydan,Dubai,"950,000",Brand New | Chiller Free | Unfurnished | Pool View,Apartment,472,44,1,1
Bulgari Resort & Residences,Jumeirah Bay Island,Jumeirah,Dubai,"26,000,000",Fully Upgraded and Furnished | Luxurious Apt,Apartment,2088,194,2  + Maid,3
La Mer South Island,La Mer,Jumeirah,Dubai,"135,000,000",Brand New | Luxury Villa | Sea View from Rooftop,Villa,13450,1250,5  + Maid,6
Bulgari Resort & Residences,Jumeirah Bay Island,Jumeirah,Dubai,,Exclusive | Luxurious Unit | Burj Khalifa View,Apartment,3169,294,3  + Maid,4
Central Park Residential Tower,Central Park Tower,DIFC,Dubai,"4,485,000",Only For Buyers | Vacant | Fully Upgraded Duplex,Apartment,1602,149,2,3
The Crest Tower B,Sobha Hartland,Mohammed Bin Rashid City,Dubai,"1,200,000",2YPost Hand-Over | Payment Plan,Apartment,519,48,1,1
Greenviews 2,EMAAR South,Dubai South (Dubai World Central),Dubai,"2,425,000",Motivated Seller l Multiple Options l Brand New,Townhouse,1553,144,3  + Maid,4
Springs 10,,The Springs,Dubai,"4,500,000",Private Pool | Full New Renovation | Maids Room,Villa,2226,207,2  + Maid,3
Springs 12,,The Springs,Dubai,"5,200,000",Huge Plot | Opposite Lake | Full Corner Plot,Villa,2258,210,3  + Maid,3
Mesk 2,Midtown,Dubai Production City (IMPZ),Dubai,"1,600,000",2 B/R + Maids Room l Community View l Terrace,Apartment,1213,113,2,3
Springs 14,,The Springs,Dubai,"6,600,000",Exclusive | Turnkey | Smart Home | VOT | Rare Unit,Villa,2588,240,3,4
Greenview 3,EMAAR South,Dubai South (Dubai World Central),Dubai,"3,050,000",Pool View | Corner Villa | No Agents,Villa,2487,231,4  + Maid,4
Azalea,,Arabian Ranches 2,Dubai,"6,650,000",Great Location | Largest Layout | VOT,Villa,3362,312,4  + Maid,4
The Crest Tower B,Sobha Hartland,Mohammed Bin Rashid City,Dubai,"1,200,000",2YPost Hand-Over | Payment Plan,Apartment,519,48,1,1
Springs 10,,The Springs,Dubai,"4,500,000",Private Pool | Full New Renovation | Maids Room,Villa,2226,207,2  + Maid,3
Springs 9,,The Springs,Dubai,"3,570,000",Fully Upgraded | Fully Furnished | Vacant Now,Villa,1856,172,2,3
Springs 12,,The Springs,Dubai,"5,200,000",Huge Plot | Opposite Lake | Full Corner Plot,Villa,2258,210,3  + Maid,3
Murooj Al Furjan,,Al Furjan,Dubai,"8,400,000",Single Row | 5BR - Type B | Pool Backing,Villa,3908,363,5  + Maid,6
Legacy,,Jumeirah Park,Dubai,"15,990,000",Corner I District 2 I Extended I Vacant I Upgraded,Villa,8616,800,5  + Maid,6
Mira 2,Mira,Reem,Dubai,"4,350,000",Community Expert | Type 1E | Notice Served,Townhouse,2687,250,4  + Maid,4
Arabella Townhouses 1,Arabella Townhouses,Mudon,Dubai,"3,500,000",Single Row | Green Belt | Genuine Deal,Townhouse,2057,191,3,4
Vida Residence 2,Vida Residence,The Hills,Dubai,"6,250,000",Turnkey | On Golf Course | Motivated Seller,Apartment,2078,193,3  + Maid,2
Bulgari Resort & Residences,Jumeirah Bay Island,Jumeirah,Dubai,"35,000,000",VacantI Upgraded Luxurious 3 Bed Apt I Marina View,Apartment,2610,242,3  + Maid,4
Al Reem 1,Al Reem,Arabian Ranches,Dubai,"3,249,000",Fully Upgraded | VOT | Great Location,Villa,1906,177,2,2
Ellington House II,,Dubai Hills Estate,Dubai,"3,500,000",Golf View | Building Specialist | Ready Soon,Apartment,1274,118,2,3
The Golf Residence,,Dubai Hills Estate,Dubai,"1,800,000",Options Available | DHE Specialist | High Quality,Apartment,939,87,1,2
The Links West Tower,The Links,The Views,Dubai,"4,950,000",2 Bed + Study | Golf Course View | Luxury Upgrade,Apartment,1642,153,2,2
Binghatti Azure,,Jumeirah Village Circle,Dubai,"1,600,000",Genuine Resale | Prime Location | Luxury Lifestyle,Apartment,1332,124,2,2
Legacy,,Jumeirah Park,Dubai,"13,000,000",Single Row | Vastu | Vacant | Unfurnished,Villa,5940,552,5  + Maid,6
Downtown Views II Tower 3,Downtown Views II,Downtown Dubai,Dubai,"2,150,000",Rented | Easy access | Zaabeel View,Apartment,743,69,1,1
Aura,,Tilal Al Ghaf,Dubai,"3,750,000",Upgraded | Motivated Resale | Internal,Townhouse,2175,202,3,3
Zulal 2,Zulal,The Lakes,Dubai,"6,299,999",Rare 3BR BM | Park and Pool View | VOT,Villa,3034,282,3  + Maid,4
1 JBR,,Jumeirah Beach Residence,Dubai,"15,900,000",Best Corner I Full Sea View I Ready To Move In,Apartment,2598,241,3,5
Lamaa,Madinat Jumeirah Living,Umm Suqeim,Dubai,"5,300,000",Exclusive I Spacious Corner Layout ICommunity View,Apartment,1820,169,3  + Maid,3
Springs 11,,The Springs,Dubai,"7,200,000",Fully Renovated | Furnished | Corner Unit | Pool,Villa,4430,412,4,4
Lamaa,Madinat Jumeirah Living,Umm Suqeim,Dubai,"2,950,000",Luxurious | Prime Location | Modern Interiors,Apartment,1115,104,2,2
Jumeirah Park Homes,,Jumeirah Park,Dubai,"23,000,000",Premium Location | Luxury Modern | Brand New,Villa,9000,836,6  + Maid,7
Serenity Mansions,,Tilal Al Ghaf,Dubai,"51,999,999",2.5M BELOW OP | Genuine Listing | Sold Out,Villa,17760,1650,7  + Maid,7+
MBL Royal,,Jumeirah Lake Towers,Dubai,"1,750,000",Brand New | Modern Finish | Vacant Now,Apartment,825,77,1,1
The Pulse Beachfront,The Pulse,Dubai South (Dubai World Central),Dubai,"3,200,000",Great Investment | Massive Villa | Brand New,Villa,3151,293,3  + Maid,3
Churchill Residency Tower,Churchill Towers,Business Bay,Dubai,"2,100,000",Canal Front | Vacant | Huge Layout,Apartment,1269,118,2,2
Green Community West,Green Community,Dubai Investment Park (DIP),Dubai,"8,200,000",Corner Plot | Upgraded | Huge Plot | Vastu,Villa,6004,558,5  + Maid,6
Address Harbour Point Tower 2,Address Harbour Point,Dubai Creek Harbour (The Lagoons),Dubai,"3,500,000",Burj and Sea View | Payment Plan | Best Price,Apartment,1141,106,2,3
Redwood Avenue,Fire,Jumeirah Golf Estates,Dubai,"35,000,000",View Today | Fully Renovated | Golf and Lake View,Villa,10563,981,6  + Maid,6
Regional,,Jumeirah Park,Dubai,"6,750,000",Single Row | Vacant on Transfer | 3 Bed,Villa,3063,285,3  + Maid,4
Al Jazi 4,Madinat Jumeirah Living,Umm Suqeim,Dubai,"2,000,000",Pool View | Balcony | Resale | Exquisite Elegance,Apartment,738,69,1,1
The Pulse Beachfront 3,The Pulse,Dubai South (Dubai World Central),Dubai,"3,999,999",Rooftop Terrace | Investor Deal | Lowest Price,Villa,2711,252,4,5
Expo City Mangrove Residences,,Expo City,Dubai,"2,700,000",Best 2BR In Building | High Floor | Full Wasl View,Apartment,1378,128,2,3
Heritage,,Jumeirah Park,Dubai,"7,900,000",Large 3 Bed | Vacant on Transfer | Corner Plot,Villa,3527,328,3  + Maid,4
Legacy,,Jumeirah Park,Dubai,"10,000,000",Large 4 Bedroom | Internal Location | Must See,Villa,4335,403,4  + Maid,5
Azalea,,Arabian Ranches 2,Dubai,"5,500,000",Community Expert | Great Location | Close to Park,Villa,4005,372,3  + Maid,4
Legacy,,Jumeirah Park,Dubai,"7,900,000",District 5 | Extended | Fully Upgraded | 3BR,Villa,3063,285,3,3
Regional,,Jumeirah Park,Dubai,"6,250,000",Vacant Soon | 3 Bedroom Villa | Exclusive,Villa,3063,285,3  + Maid,4
Maha Townhouses,,Town Square,Dubai,"3,199,999",Open to Offers | End Unit | Handover Soon,Townhouse,2264,210,4  + Maid,4
Samara,,Arabian Ranches 2,Dubai,"6,999,999",Exclusive Location | Private Tree Line View,Villa,3970,369,5  + Maid,5
Casa Familia,Green Community Motor City,Motor City,Dubai,"5,900,000",4 Bed Plus Maids | Vacant | Great Location,Villa,4097,381,4,4
Legacy,,Jumeirah Park,Dubai,"10,500,000",VACANT | HUGE PLOT | FULLY UPGRADED,Villa,3569,332,3  + Maid,4
Dubai Creek Residence Tower 2 North,,Dubai Creek Harbour (The Lagoons),Dubai,"3,950,000",One of a Kind | Vacant | Outdoor Living | Maids,Apartment,2840,264,2,3
Al Majara 1,Al Majara,Dubai Marina,Dubai,"2,000,000",Vacant Soon | Marina Views | High Floor,Apartment,951,88,1,1
Murooj Al Furjan,,Al Furjan,Dubai,"7,800,000",Best Value | Single Row | 5-BedS Villa,Villa,4452,414,5,7
West Village,,Al Furjan,Dubai,"13,600,000",5 Bed Villa | Bespoke | Pool | Large Basement,Villa,8262,768,5  + Maid,6
The Pulse Beachfront,The Pulse,Dubai South (Dubai World Central),Dubai,"4,150,000",Semi Detached | Vastu | Near to Pool and Park,Villa,3482,323,4  + Maid,6
Apartment Building 5,Bluewaters Residences,Bluewaters,Dubai,"5,400,000",Vacant Now | Sea Views | Cheapest Unit,Apartment,1178,109,1,2
Springs 7,,The Springs,Dubai,"4,075,000",EXCLUSIVE | Upgraded | Pool | Lake View,Villa,1690,157,2,3
Al Jazi,Madinat Jumeirah Living,Umm Suqeim,Dubai,"3,050,000",Priced to Sell | Courtyard Views | High Floor,Apartment,1095,102,2,2
Entertainment Foyer,Mediterranean Clusters,Jumeirah Islands,Dubai,"24,999,999",Contemporary Design | Extended | Smart Home,Villa,11068,1028,4  + Maid,5
South Bay 1,South Bay,Dubai South (Dubai World Central),Dubai,"3,999,999",Motivated Seller | Payment Plan | Phase 1,Townhouse,3557,330,4  + Maid,6
Quortaj,North Village,Al Furjan,Dubai,"4,000,000",Vastu | Close to Pavillion | Type B | VOT,Townhouse,2411,224,3  + Maid,3
Jebel Ali Village Townhouses,Jebel Ali Village,Jebel Ali,Dubai,"5,500,000",Park Facing | Premium Quality | Phase 1,Townhouse,2811,261,4  + Maid,5
The Address Residence Fountain Views 1,The Address Residence Fountain Views,Downtown Dubai,Dubai,"6,950,000",Unique | Fully Upgraded | Burj Khalifa View,Apartment,1447,134,2,3
Zulal 2,Zulal,The Lakes,Dubai,"6,299,999",Pool And Park View | Owner Occupied | B Middle,Villa,3034,282,3  + Maid,4
Park Horizon,,Dubai Hills Estate,Dubai,"2,650,000",Attractive View | Big Layout | Prime Location,Apartment,1528,142,2,2
The Fairways East,The Fairways,The Views,Dubai,"3,250,000",Upgraded | Vacant June 2025 | Golf Course View,Apartment,1377,128,2,2
The Fairways East,The Fairways,The Views,Dubai,"3,500,000",Panoramic Golf Course View | 03 Series | Corner,Apartment,1471,137,2,1
Bloom Towers B,Bloom Towers,Jumeirah Village Circle,Dubai,"700,000",VACANT | FULLY FURNISHED | STUNNING VIEWS,Apartment,397,37,studio,1
Resortz by Danube,,Arjan,Dubai,"550,000",Fully Furnished |Vacant Soon| Prime Location,Apartment,450,42,studio,1
AZIZI Riviera,Meydan One,Meydan,Dubai,"950,000",Brand New | Chiller Free | Unfurnished | Pool View,Apartment,472,44,1,1
Murooj Al Furjan,,Al Furjan,Dubai,"8,000,000",Single Row 5BR Spacious Villa Close to Pool,Villa,6135,570,5  + Maid,6
The Crest Tower B,Sobha Hartland,Mohammed Bin Rashid City,Dubai,"1,200,000",2YPost Hand-Over | Payment Plan,Apartment,519,48,1,1
La Vie,,Jumeirah Beach Residence,Dubai,"6,900,000",Sea View | Direct Beach Access | Vacant,Apartment,1410,131,2,2
Springs 10,,The Springs,Dubai,"4,500,000",Private Pool | Full New Renovation | Maids Room,Villa,2226,207,2  + Maid,3
Springs 9,,The Springs,Dubai,"3,570,000",Fully Upgraded | Fully Furnished | Vacant Now,Villa,1856,172,2,3
The Pulse Beachfront,The Pulse,Dubai South (Dubai World Central),Dubai,"4,150,000",Semi Detached | Vastu | Near to Pool and Park,Villa,3482,323,4  + Maid,6
Apartment Building 5,Bluewaters Residences,Bluewaters,Dubai,"5,400,000",Vacant Now | Sea Views | Cheapest Unit,Apartment,1178,109,1,2
Springs 7,,The Springs,Dubai,"4,075,000",EXCLUSIVE | Upgraded | Pool | Lake View,Villa,1690,157,2,3
Al Jazi,Madinat Jumeirah Living,Umm Suqeim,Dubai,"3,050,000",Priced to Sell | Courtyard Views | High Floor,Apartment,1095,102,2,2
Entertainment Foyer,Mediterranean Clusters,Jumeirah Islands,Dubai,"24,999,999",Contemporary Design | Extended | Smart Home,Villa,11068,1028,4  + Maid,5
South Bay 1,South Bay,Dubai South (Dubai World Central),Dubai,"3,999,999",Motivated Seller | Payment Plan | Phase 1,Townhouse,3557,330,4  + Maid,6
Quortaj,North Village,Al Furjan,Dubai,"4,000,000",Vastu | Close to Pavillion | Type B | VOT,Townhouse,2411,224,3  + Maid,3
Jebel Ali Village Townhouses,Jebel Ali Village,Jebel Ali,Dubai,"5,500,000",Park Facing | Premium Quality | Phase 1,Townhouse,2811,261,4  + Maid,5
The Address Residence Fountain Views 1,The Address Residence Fountain Views,Downtown Dubai,Dubai,"6,950,000",Unique | Fully Upgraded | Burj Khalifa View,Apartment,1447,134,2,3
Murjan 1,Murjan,Jumeirah Beach Residence,Dubai,"2,450,000",Vacant | Upgraded 2+Study | High floor Marina View,Apartment,1393,129,2,3
Park Horizon,,Dubai Hills Estate,Dubai,"2,650,000",Attractive View | Big Layout | Prime Location,Apartment,1528,142,2,2
Bloom Towers B,Bloom Towers,Jumeirah Village Circle,Dubai,"700,000",VACANT | FULLY FURNISHED | STUNNING VIEWS,Apartment,397,37,studio,1
Murooj Al Furjan,,Al Furjan,Dubai,"8,000,000",Single Row 5BR Spacious Villa Close to Pool,Villa,6135,570,5  + Maid,6
La Vie,,Jumeirah Beach Residence,Dubai,"6,900,000",Sea View | Direct Beach Access | Vacant,Apartment,1410,131,2,2
Bliss,,Arabian Ranches 3,Dubai,"4,600,000",Corner Plot | Park Backing | handed over,Villa,2877,267,4  + Maid,4
Ashjar F1,Ashjar,Al Barari,Dubai,"10,500,000","Floor Penthouse | Two Bed | 4,219 Sq Ft",Apartment,4219,392,2,3
Safi I,Safi,Town Square,Dubai,"1,850,000",Large Terrace | Pool View | Vacant On Transfer,Apartment,2257,210,3  + Maid,3
Santorini,,Damac Lagoons,Dubai,"3,250,000",Single Row | Close to Central Hub | Can Mortgage,Townhouse,2200,204,4,4
Meadows 7,,Meadows,Dubai,"16,999,999",Large Plot| Sunset and Lake Views| Upgraded| VOT,Villa,4924,457,6,6
Meadows 5,,Meadows,Dubai,"14,500,000",Lake and Skyline View 4BR Private Pool,Villa,4200,390,4  + Maid,4
Afnan 4,Midtown,Dubai Production City (IMPZ),Dubai,"779,000",Upgraded | Great View | High ROI,Apartment,634,59,1,2
Novelia,Victory Heights,Dubai Sports City,Dubai,"23,975,000",Beautifully Extended | Type A1 in Novelia,Villa,9998,929,6  + Maid,6
03 Residence by NED Al Ghurair,,Jumeirah Village Triangle,Dubai,"1,600,000",Exclusive | 0% DLD and Commission | Brand New,Apartment,1285,119,2,3
Afnan 4,Midtown,Dubai Production City (IMPZ),Dubai,"779,000",Upgraded | Great View | High ROI,Apartment,634,59,1,2
Novelia,Victory Heights,Dubai Sports City,Dubai,"23,975,000",Beautifully Extended | Type A1 in Novelia,Villa,9998,929,6  + Maid,6
03 Residence by NED Al Ghurair,,Jumeirah Village Triangle,Dubai,"1,600,000",Exclusive | 0% DLD and Commission | Brand New,Apartment,1285,119,2,3
Meadows 9,,Meadows,Dubai,"10,000,000",Modern Upgrades | Reconfigured | Must View,Villa,5812,540,4,4
Meadows 1,,Meadows,Dubai,"17,995,000",Upgraded | Lake and Skyline View | Extended,Villa,4000,372,5  + Maid,5
Marwa Heights,,Jumeirah Village Circle,Dubai,"980,000",Fully Furnished | Ready to Move | Top Floor,Apartment,720,67,1,2
Harmony 3,Harmony,Tilal Al Ghaf,Dubai,"14,000,000",Upgraded | Large Corner Plot | Single Row,Villa,7199,669,5,6
Vida Residence 4,Vida Residence,The Hills,Dubai,"3,300,000",Lake View | Well Maintained | Vacant Soon,Apartment,1284,119,2,2
Aseel,,Arabian Ranches,Dubai,"14,999,998",Exclusive | Unique Design | Extended Villa,Villa,4622,429,6,6
